name,type,fee,desc,hours,city
"The Great Nuremberg Natural History Museum",Museum,8.00,"Discover the fascinating origins of Nuremberg through beautifully curated galleries and expert-led tours.","10:00 - 17:00",Nuremberg
"Pisa Central Plaza",Landmark,30.00,"An iconic symbol of Pisa's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 17:00",Pisa
"The Great Montreal Science Exhibit",Museum,35.00,"Immerse yourself in Montreal's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 17:00",Montreal
"Adelaide Heritage House",Historic,28.00,"Step back in time and walk the ancient grounds where Adelaide's most defining historical moments took place.","8:00 - 19:00",Adelaide
"Paris National Park",Nature,29.00,"Lush green spaces and spectacular panoramic views make this one of Paris's most cherished outdoor destinations.","9:00 - 16:00",Paris
"The Great Nice Gallery",Museum,41.00,"Immerse yourself in Nice's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 20:00",Nice
"The Great Kyoto River Walk",Nature,40.00,"Experience the breathtaking natural beauty of Kyoto at this serene location, offering scenic trails and native wildlife.","10:00 - 20:00",Kyoto
"Durban Wildlife Sanctuary",Nature,0.00,"A perfectly preserved natural reserve in the heart of Durban. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 16:00",Durban
"The Great Seville Hillside Park",Nature,0.00,"A perfectly preserved natural reserve in the heart of Seville. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 18:00",Seville
"The Great Victoria Castle Ruins",Historic,17.00,"Step back in time and walk the ancient grounds where Victoria's most defining historical moments took place.","9:00 - 19:00",Victoria
"The Great Belfast Square",Landmark,0.00,"A masterpiece of engineering and art. No visit to Belfast is complete without seeing this majestic structure.","8:00 - 17:00",Belfast
"Mallorca Royal Palace",Historic,29.00,"Centuries of history are embedded in the walls of this famous historical site located right in Mallorca.","10:00 - 20:00",Mallorca
"Boston Cultural Centre",Museum,27.00,"Discover the fascinating origins of Boston through beautifully curated galleries and expert-led tours.","9:00 - 20:00",Boston
"Los Angeles Old Town Hall",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Los Angeles.","10:00 - 18:00","Los Angeles"
"The Great Port Elizabeth Old Town Hall",Historic,36.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Port Elizabeth.","8:00 - 16:00","Port Elizabeth"
"Gold Coast Aviation Museum",Museum,35.00,"A world-class cultural institution in Gold Coast housing thousands of priceless historical and artistic treasures.","8:00 - 19:00","Gold Coast"
"The Great Bali Hillside Park",Nature,18.00,"Experience the breathtaking natural beauty of Bali at this serene location, offering scenic trails and native wildlife.","8:00 - 16:00",Bali
"New York Wildlife Sanctuary",Nature,34.00,"Experience the breathtaking natural beauty of New York at this serene location, offering scenic trails and native wildlife.","10:00 - 16:00","New York"
"Nantes Heritage House",Historic,24.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Nantes.","9:00 - 17:00",Nantes
"Stuttgart Ancient Fort",Historic,0.00,"Step back in time and walk the ancient grounds where Stuttgart's most defining historical moments took place.","9:00 - 18:00",Stuttgart
"The Great Dusseldorf Science Exhibit",Museum,0.00,"A world-class cultural institution in Dusseldorf housing thousands of priceless historical and artistic treasures.","10:00 - 17:00",Dusseldorf
"Hamburg Monument",Landmark,41.00,"An iconic symbol of Hamburg's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 16:00",Hamburg
"Fukuoka Museum of Art",Museum,22.00,"Immerse yourself in Fukuoka's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 19:00",Fukuoka
"The Great Cologne Cultural Centre",Museum,0.00,"A world-class cultural institution in Cologne housing thousands of priceless historical and artistic treasures.","10:00 - 18:00",Cologne
"Lyon Ancient Fort",Historic,11.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Lyon.","8:00 - 18:00",Lyon
"The Great Edmonton Hillside Park",Nature,29.00,"Experience the breathtaking natural beauty of Edmonton at this serene location, offering scenic trails and native wildlife.","9:00 - 16:00",Edmonton
"New York Observatory",Landmark,39.00,"An iconic symbol of New York's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 17:00","New York"
"The Great Boston Wildlife Sanctuary",Nature,17.00,"A perfectly preserved natural reserve in the heart of Boston. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 18:00",Boston
"Berlin Castle Ruins",Historic,7.00,"Step back in time and walk the ancient grounds where Berlin's most defining historical moments took place.","10:00 - 17:00",Berlin
"The Great Seville Botanical Gardens",Nature,19.00,"Experience the breathtaking natural beauty of Seville at this serene location, offering scenic trails and native wildlife.","9:00 - 19:00",Seville
"Birmingham Castle Ruins",Historic,7.00,"Centuries of history are embedded in the walls of this famous historical site located right in Birmingham.","10:00 - 19:00",Birmingham
"Canberra Central Plaza",Landmark,31.00,"A masterpiece of engineering and art. No visit to Canberra is complete without seeing this majestic structure.","10:00 - 16:00",Canberra
"The Great Durban Museum of Art",Museum,26.00,"A world-class cultural institution in Durban housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Durban
"The Great Tokyo Aviation Museum",Museum,0.00,"Discover the fascinating origins of Tokyo through beautifully curated galleries and expert-led tours.","10:00 - 20:00",Tokyo
"The Great Bilbao Science Exhibit",Museum,45.00,"Discover the fascinating origins of Bilbao through beautifully curated galleries and expert-led tours.","10:00 - 18:00",Bilbao
"Nara National Park",Nature,27.00,"Lush green spaces and spectacular panoramic views make this one of Nara's most cherished outdoor destinations.","8:00 - 19:00",Nara
"The Great Tokyo River Walk",Nature,19.00,"A perfectly preserved natural reserve in the heart of Tokyo. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 17:00",Tokyo
"Brisbane Museum of Art",Museum,25.00,"Immerse yourself in Brisbane's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 16:00",Brisbane
"Berlin Square",Landmark,0.00,"An iconic symbol of Berlin's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 18:00",Berlin
"Lyon Cathedral",Historic,9.00,"Centuries of history are embedded in the walls of this famous historical site located right in Lyon.","10:00 - 20:00",Lyon
"The Great Paris Science Exhibit",Museum,32.00,"Immerse yourself in Paris's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 17:00",Paris
"Paris Botanical Gardens",Nature,16.00,"Lush green spaces and spectacular panoramic views make this one of Paris's most cherished outdoor destinations.","9:00 - 20:00",Paris
"The Great Hamburg National Park",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Hamburg's most cherished outdoor destinations.","9:00 - 17:00",Hamburg
"The Great Cape Town Square",Landmark,22.00,"A masterpiece of engineering and art. No visit to Cape Town is complete without seeing this majestic structure.","9:00 - 16:00","Cape Town"
"The Great New York National Park",Nature,12.00,"A perfectly preserved natural reserve in the heart of New York. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 20:00","New York"
"Denver Natural History Museum",Museum,0.00,"Immerse yourself in Denver's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 16:00",Denver
"Cape Town Hillside Park",Nature,14.00,"Experience the breathtaking natural beauty of Cape Town at this serene location, offering scenic trails and native wildlife.","10:00 - 18:00","Cape Town"
"Cape Town Aviation Museum",Museum,0.00,"A world-class cultural institution in Cape Town housing thousands of priceless historical and artistic treasures.","9:00 - 16:00","Cape Town"
"Hobart Observatory",Landmark,14.00,"An iconic symbol of Hobart's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 18:00",Hobart
"Valencia Science Exhibit",Museum,31.00,"Immerse yourself in Valencia's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 16:00",Valencia
"The Great Kyoto Science Exhibit",Museum,15.00,"Discover the fascinating origins of Kyoto through beautifully curated galleries and expert-led tours.","10:00 - 17:00",Kyoto
"The Great Denver Aviation Museum",Museum,44.00,"Immerse yourself in Denver's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 18:00",Denver
"The Great Austin Monument",Landmark,0.00,"A masterpiece of engineering and art. No visit to Austin is complete without seeing this majestic structure.","10:00 - 17:00",Austin
"Hamburg Heritage House",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Hamburg.","9:00 - 17:00",Hamburg
"New York Wildlife Sanctuary",Nature,43.00,"A perfectly preserved natural reserve in the heart of New York. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 19:00","New York"
"Mallorca Museum of Art",Museum,19.00,"A world-class cultural institution in Mallorca housing thousands of priceless historical and artistic treasures.","8:00 - 18:00",Mallorca
"Granada Natural History Museum",Museum,0.00,"Immerse yourself in Granada's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 17:00",Granada
"The Great Adelaide Botanical Gardens",Nature,0.00,"A perfectly preserved natural reserve in the heart of Adelaide. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 19:00",Adelaide
"The Great Toulouse Bridge",Landmark,6.00,"An iconic symbol of Toulouse's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 19:00",Toulouse
"The Great Tokyo Bridge",Landmark,27.00,"An iconic symbol of Tokyo's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 18:00",Tokyo
"Sapporo Museum of Art",Museum,33.00,"Discover the fascinating origins of Sapporo through beautifully curated galleries and expert-led tours.","10:00 - 20:00",Sapporo
"Whistler Wildlife Sanctuary",Nature,19.00,"Experience the breathtaking natural beauty of Whistler at this serene location, offering scenic trails and native wildlife.","10:00 - 16:00",Whistler
"Edmonton Nature Reserve",Nature,26.00,"A perfectly preserved natural reserve in the heart of Edmonton. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00",Edmonton
"The Great Kimberley Cultural Centre",Museum,29.00,"Discover the fascinating origins of Kimberley through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Kimberley
"The Great Adelaide Heritage House",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Adelaide.","9:00 - 19:00",Adelaide
"The Great Toledo Observatory",Landmark,26.00,"A masterpiece of engineering and art. No visit to Toledo is complete without seeing this majestic structure.","10:00 - 17:00",Toledo
"The Great Vancouver Heritage House",Historic,6.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Vancouver.","8:00 - 20:00",Vancouver
"The Great Darwin Monument",Landmark,39.00,"An iconic symbol of Darwin's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 20:00",Darwin
"The Great Valencia Science Exhibit",Museum,5.00,"Immerse yourself in Valencia's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 18:00",Valencia
"Seville Nature Reserve",Nature,18.00,"Lush green spaces and spectacular panoramic views make this one of Seville's most cherished outdoor destinations.","10:00 - 18:00",Seville
"The Great Kyoto Botanical Gardens",Nature,15.00,"A perfectly preserved natural reserve in the heart of Kyoto. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 18:00",Kyoto
"The Great New York Old Town Hall",Historic,24.00,"Centuries of history are embedded in the walls of this famous historical site located right in New York.","8:00 - 16:00","New York"
"The Great Edmonton Ancient Fort",Historic,0.00,"Step back in time and walk the ancient grounds where Edmonton's most defining historical moments took place.","8:00 - 19:00",Edmonton
"Lyon Aviation Museum",Museum,39.00,"A world-class cultural institution in Lyon housing thousands of priceless historical and artistic treasures.","10:00 - 19:00",Lyon
"Brisbane Museum of Art",Museum,33.00,"Discover the fascinating origins of Brisbane through beautifully curated galleries and expert-led tours.","9:00 - 16:00",Brisbane
"The Great Birmingham Gallery",Museum,39.00,"Discover the fascinating origins of Birmingham through beautifully curated galleries and expert-led tours.","9:00 - 17:00",Birmingham
"Pisa Botanical Gardens",Nature,0.00,"Experience the breathtaking natural beauty of Pisa at this serene location, offering scenic trails and native wildlife.","10:00 - 19:00",Pisa
"The Great Las Vegas Monument",Landmark,6.00,"A masterpiece of engineering and art. No visit to Las Vegas is complete without seeing this majestic structure.","8:00 - 16:00","Las Vegas"
"London Science Exhibit",Museum,21.00,"A world-class cultural institution in London housing thousands of priceless historical and artistic treasures.","9:00 - 20:00",London
"Dubai Natural History Museum",Museum,20.00,"A world-class cultural institution in Dubai housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Dubai
"Dresden Cultural Centre",Museum,12.00,"Discover the fascinating origins of Dresden through beautifully curated galleries and expert-led tours.","8:00 - 17:00",Dresden
"The Great Cape Town Cathedral",Historic,33.00,"Step back in time and walk the ancient grounds where Cape Town's most defining historical moments took place.","9:00 - 16:00","Cape Town"
"The Great Dubai Central Plaza",Landmark,18.00,"An iconic symbol of Dubai's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Dubai
"Naples Square",Landmark,20.00,"An iconic symbol of Naples's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 18:00",Naples
"The Great London Central Plaza",Landmark,34.00,"A masterpiece of engineering and art. No visit to London is complete without seeing this majestic structure.","9:00 - 16:00",London
"Marseille Museum of Art",Museum,0.00,"Discover the fascinating origins of Marseille through beautifully curated galleries and expert-led tours.","8:00 - 16:00",Marseille
"The Great Oxford Cultural Centre",Museum,34.00,"A world-class cultural institution in Oxford housing thousands of priceless historical and artistic treasures.","9:00 - 19:00",Oxford
"Granada Observatory",Landmark,24.00,"An iconic symbol of Granada's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 16:00",Granada
"The Great Quebec City Science Exhibit",Museum,39.00,"A world-class cultural institution in Quebec City housing thousands of priceless historical and artistic treasures.","9:00 - 18:00","Quebec City"
"East London Tower",Landmark,29.00,"One of the most photographed monuments in East London, featuring stunning design and cultural significance.","9:00 - 20:00","East London"
"The Great Osaka Royal Palace",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Osaka.","9:00 - 19:00",Osaka
"The Great Ottawa River Walk",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Ottawa's most cherished outdoor destinations.","8:00 - 17:00",Ottawa
"Nuremberg Tower",Landmark,5.00,"An iconic symbol of Nuremberg's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 20:00",Nuremberg
"Victoria Royal Palace",Historic,15.00,"Step back in time and walk the ancient grounds where Victoria's most defining historical moments took place.","9:00 - 17:00",Victoria
"Liverpool Heritage House",Historic,24.00,"Step back in time and walk the ancient grounds where Liverpool's most defining historical moments took place.","9:00 - 17:00",Liverpool
"Glasgow Botanical Gardens",Nature,16.00,"Experience the breathtaking natural beauty of Glasgow at this serene location, offering scenic trails and native wildlife.","10:00 - 18:00",Glasgow
"Perth Old Town Hall",Historic,9.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Perth.","10:00 - 17:00",Perth
"The Great San Francisco Gallery",Museum,45.00,"A world-class cultural institution in San Francisco housing thousands of priceless historical and artistic treasures.","10:00 - 18:00","San Francisco"
"The Great Okinawa Tower",Landmark,33.00,"A masterpiece of engineering and art. No visit to Okinawa is complete without seeing this majestic structure.","8:00 - 18:00",Okinawa
"The Great Dubai Tower",Landmark,31.00,"A masterpiece of engineering and art. No visit to Dubai is complete without seeing this majestic structure.","9:00 - 16:00",Dubai
"Hobart Castle Ruins",Historic,30.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Hobart.","8:00 - 16:00",Hobart
"Bali Nature Reserve",Nature,18.00,"A perfectly preserved natural reserve in the heart of Bali. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 18:00",Bali
"Darwin Science Exhibit",Museum,0.00,"A world-class cultural institution in Darwin housing thousands of priceless historical and artistic treasures.","10:00 - 19:00",Darwin
"Bath Square",Landmark,31.00,"An iconic symbol of Bath's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 17:00",Bath
"Barcelona Castle Ruins",Historic,27.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Barcelona.","10:00 - 20:00",Barcelona
"The Great Bloemfontein River Walk",Nature,26.00,"A perfectly preserved natural reserve in the heart of Bloemfontein. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 19:00",Bloemfontein
"The Great Okinawa Central Plaza",Landmark,0.00,"An iconic symbol of Okinawa's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Okinawa
"The Great Malaga Nature Reserve",Nature,0.00,"A perfectly preserved natural reserve in the heart of Malaga. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 18:00",Malaga
"Nice Natural History Museum",Museum,30.00,"Immerse yourself in Nice's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 18:00",Nice
"The Great Port Elizabeth Nature Reserve",Nature,31.00,"Lush green spaces and spectacular panoramic views make this one of Port Elizabeth's most cherished outdoor destinations.","9:00 - 18:00","Port Elizabeth"
"Pisa Bridge",Landmark,0.00,"One of the most photographed monuments in Pisa, featuring stunning design and cultural significance.","9:00 - 19:00",Pisa
"The Great Birmingham Science Exhibit",Museum,18.00,"A world-class cultural institution in Birmingham housing thousands of priceless historical and artistic treasures.","8:00 - 18:00",Birmingham
"Tokyo National Park",Nature,31.00,"Experience the breathtaking natural beauty of Tokyo at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Tokyo
"The Great Los Angeles Ancient Fort",Historic,25.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Los Angeles.","8:00 - 17:00","Los Angeles"
"Edinburgh Gallery",Museum,6.00,"Immerse yourself in Edinburgh's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 16:00",Edinburgh
"The Great Bali Tower",Landmark,11.00,"An iconic symbol of Bali's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 17:00",Bali
"Sapporo Museum of Art",Museum,21.00,"Immerse yourself in Sapporo's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Sapporo
"The Great Glasgow River Walk",Nature,30.00,"A perfectly preserved natural reserve in the heart of Glasgow. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 18:00",Glasgow
"The Great Tokyo Botanical Gardens",Nature,39.00,"A perfectly preserved natural reserve in the heart of Tokyo. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 17:00",Tokyo
"Venice Royal Palace",Historic,40.00,"Centuries of history are embedded in the walls of this famous historical site located right in Venice.","10:00 - 20:00",Venice
"The Great Montpellier Heritage House",Historic,15.00,"Centuries of history are embedded in the walls of this famous historical site located right in Montpellier.","8:00 - 18:00",Montpellier
"The Great Cape Town Observatory",Landmark,20.00,"One of the most photographed monuments in Cape Town, featuring stunning design and cultural significance.","8:00 - 16:00","Cape Town"
"Sapporo Heritage House",Historic,30.00,"Centuries of history are embedded in the walls of this famous historical site located right in Sapporo.","10:00 - 16:00",Sapporo
"Victoria Science Exhibit",Museum,8.00,"Discover the fascinating origins of Victoria through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Victoria
"Hiroshima River Walk",Nature,0.00,"Experience the breathtaking natural beauty of Hiroshima at this serene location, offering scenic trails and native wildlife.","10:00 - 17:00",Hiroshima
"Nuremberg Bridge",Landmark,0.00,"A masterpiece of engineering and art. No visit to Nuremberg is complete without seeing this majestic structure.","9:00 - 18:00",Nuremberg
"Cape Town Ancient Fort",Historic,38.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Cape Town.","8:00 - 17:00","Cape Town"
"The Great Bloemfontein Aviation Museum",Museum,26.00,"Immerse yourself in Bloemfontein's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 17:00",Bloemfontein
"The Great Glasgow Tower",Landmark,0.00,"A masterpiece of engineering and art. No visit to Glasgow is complete without seeing this majestic structure.","10:00 - 20:00",Glasgow
"The Great Glasgow Wildlife Sanctuary",Nature,21.00,"Lush green spaces and spectacular panoramic views make this one of Glasgow's most cherished outdoor destinations.","10:00 - 18:00",Glasgow
"Perth Central Plaza",Landmark,0.00,"One of the most photographed monuments in Perth, featuring stunning design and cultural significance.","8:00 - 16:00",Perth
"The Great Toulouse Tower",Landmark,26.00,"An iconic symbol of Toulouse's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 20:00",Toulouse
"Valencia Old Town Hall",Historic,31.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Valencia.","8:00 - 16:00",Valencia
"The Great Nagoya Royal Palace",Historic,14.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Nagoya.","9:00 - 18:00",Nagoya
"The Great Belfast Cathedral",Historic,16.00,"Centuries of history are embedded in the walls of this famous historical site located right in Belfast.","10:00 - 20:00",Belfast
"The Great Kimberley Science Exhibit",Museum,11.00,"Immerse yourself in Kimberley's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 16:00",Kimberley
"Florence Wildlife Sanctuary",Nature,40.00,"Lush green spaces and spectacular panoramic views make this one of Florence's most cherished outdoor destinations.","8:00 - 17:00",Florence
"The Great Quebec City Wildlife Sanctuary",Nature,0.00,"A perfectly preserved natural reserve in the heart of Quebec City. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 16:00","Quebec City"
"Dubai Tower",Landmark,0.00,"One of the most photographed monuments in Dubai, featuring stunning design and cultural significance.","8:00 - 18:00",Dubai
"Melbourne Observatory",Landmark,0.00,"One of the most photographed monuments in Melbourne, featuring stunning design and cultural significance.","8:00 - 16:00",Melbourne
"The Great Frankfurt Botanical Gardens",Nature,0.00,"A perfectly preserved natural reserve in the heart of Frankfurt. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 20:00",Frankfurt
"The Great Johannesburg Royal Palace",Historic,15.00,"Step back in time and walk the ancient grounds where Johannesburg's most defining historical moments took place.","10:00 - 20:00",Johannesburg
"Naples Ancient Fort",Historic,14.00,"Step back in time and walk the ancient grounds where Naples's most defining historical moments took place.","8:00 - 20:00",Naples
"The Great Lille Castle Ruins",Historic,10.00,"Step back in time and walk the ancient grounds where Lille's most defining historical moments took place.","9:00 - 16:00",Lille
"Osaka Monument",Landmark,40.00,"An iconic symbol of Osaka's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 19:00",Osaka
"The Great Dresden Cultural Centre",Museum,19.00,"Immerse yourself in Dresden's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 17:00",Dresden
"The Great Denver Heritage House",Historic,20.00,"Step back in time and walk the ancient grounds where Denver's most defining historical moments took place.","8:00 - 17:00",Denver
"Port Elizabeth River Walk",Nature,13.00,"A perfectly preserved natural reserve in the heart of Port Elizabeth. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 19:00","Port Elizabeth"
"The Great Marseille Castle Ruins",Historic,0.00,"Step back in time and walk the ancient grounds where Marseille's most defining historical moments took place.","10:00 - 20:00",Marseille
"The Great Pisa Hillside Park",Nature,0.00,"Experience the breathtaking natural beauty of Pisa at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Pisa
"Venice Cathedral",Historic,17.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Venice.","10:00 - 17:00",Venice
"Sapporo Cathedral",Historic,25.00,"Step back in time and walk the ancient grounds where Sapporo's most defining historical moments took place.","8:00 - 17:00",Sapporo
"East London Tower",Landmark,35.00,"A masterpiece of engineering and art. No visit to East London is complete without seeing this majestic structure.","10:00 - 20:00","East London"
"Cape Town Heritage House",Historic,43.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Cape Town.","9:00 - 20:00","Cape Town"
"The Great Okinawa Royal Palace",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Okinawa.","9:00 - 16:00",Okinawa
"Barcelona Central Plaza",Landmark,38.00,"An iconic symbol of Barcelona's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 16:00",Barcelona
"Florence Heritage House",Historic,45.00,"Centuries of history are embedded in the walls of this famous historical site located right in Florence.","10:00 - 16:00",Florence
"Seville Castle Ruins",Historic,43.00,"Centuries of history are embedded in the walls of this famous historical site located right in Seville.","9:00 - 20:00",Seville
"Montpellier Heritage House",Historic,25.00,"Centuries of history are embedded in the walls of this famous historical site located right in Montpellier.","8:00 - 20:00",Montpellier
"Boston Central Plaza",Landmark,41.00,"A masterpiece of engineering and art. No visit to Boston is complete without seeing this majestic structure.","8:00 - 18:00",Boston
"The Great Montreal River Walk",Nature,0.00,"A perfectly preserved natural reserve in the heart of Montreal. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 17:00",Montreal
"The Great Vancouver Hillside Park",Nature,13.00,"Experience the breathtaking natural beauty of Vancouver at this serene location, offering scenic trails and native wildlife.","8:00 - 16:00",Vancouver
"The Great Bali Tower",Landmark,44.00,"An iconic symbol of Bali's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 19:00",Bali
"The Great Nara Bridge",Landmark,44.00,"An iconic symbol of Nara's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Nara
"The Great Seattle Square",Landmark,44.00,"One of the most photographed monuments in Seattle, featuring stunning design and cultural significance.","8:00 - 16:00",Seattle
"Nantes Central Plaza",Landmark,13.00,"An iconic symbol of Nantes's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Nantes
"Berlin Central Plaza",Landmark,23.00,"One of the most photographed monuments in Berlin, featuring stunning design and cultural significance.","8:00 - 18:00",Berlin
"The Great Birmingham Tower",Landmark,39.00,"One of the most photographed monuments in Birmingham, featuring stunning design and cultural significance.","8:00 - 17:00",Birmingham
"The Great Stellenbosch Natural History Museum",Museum,32.00,"Discover the fascinating origins of Stellenbosch through beautifully curated galleries and expert-led tours.","9:00 - 16:00",Stellenbosch
"The Great New York Botanical Gardens",Nature,36.00,"A perfectly preserved natural reserve in the heart of New York. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 16:00","New York"
"Paris Wildlife Sanctuary",Nature,11.00,"A perfectly preserved natural reserve in the heart of Paris. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00",Paris
"Sapporo Bridge",Landmark,39.00,"One of the most photographed monuments in Sapporo, featuring stunning design and cultural significance.","8:00 - 17:00",Sapporo
"The Great Cairns Cultural Centre",Museum,0.00,"Immerse yourself in Cairns's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Cairns
"The Great Kobe Gallery",Museum,19.00,"A world-class cultural institution in Kobe housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Kobe
"The Great Bali Bridge",Landmark,35.00,"A masterpiece of engineering and art. No visit to Bali is complete without seeing this majestic structure.","10:00 - 16:00",Bali
"Nantes Central Plaza",Landmark,32.00,"An iconic symbol of Nantes's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 18:00",Nantes
"Vancouver Museum of Art",Museum,0.00,"Immerse yourself in Vancouver's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 19:00",Vancouver
"Hamburg Museum of Art",Museum,37.00,"Immerse yourself in Hamburg's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Hamburg
"The Great Manchester Botanical Gardens",Nature,40.00,"Lush green spaces and spectacular panoramic views make this one of Manchester's most cherished outdoor destinations.","10:00 - 18:00",Manchester
"Chicago Central Plaza",Landmark,43.00,"A masterpiece of engineering and art. No visit to Chicago is complete without seeing this majestic structure.","9:00 - 17:00",Chicago
"Calgary Museum of Art",Museum,18.00,"A world-class cultural institution in Calgary housing thousands of priceless historical and artistic treasures.","9:00 - 19:00",Calgary
"Vancouver Bridge",Landmark,32.00,"A masterpiece of engineering and art. No visit to Vancouver is complete without seeing this majestic structure.","10:00 - 18:00",Vancouver
"Bordeaux River Walk",Nature,16.00,"Lush green spaces and spectacular panoramic views make this one of Bordeaux's most cherished outdoor destinations.","8:00 - 18:00",Bordeaux
"Tokyo Science Exhibit",Museum,0.00,"Discover the fascinating origins of Tokyo through beautifully curated galleries and expert-led tours.","9:00 - 16:00",Tokyo
